4.3813,0.6893,6,3
4.8749,0.7635,6,3
5.3722,0.8136,6,3
5.8505,0.9454,4.4,2
6.3336,1.0723,4.4,2
6.8015,1.2424,3.5,1.75
7.2725,1.4017,3,1.6.5
7.7454,1.5599,2.5,1.6
8.0964,1.9039,2.5,1.6
8.385,2.3104,2.1,1.5
8.6555,2.7276,3,1.75
8.75,3.2139,3.4,1.75
8.8055,3.7104,4.5,2
8.85,4.2077,4.5,2
8.8449,4.7073,3.7,1.95
8.6257,5.1486,2.9,1.5
8.4021,5.5931,2.5,1.5
8.0352,5.9315,2,1.5
7.6095,6.1854,2,1.5
7.1231,6.1532,2,1.5
6.7354,5.8542,2,1.5
6.601,5.3745,2.5,1.95
6.5675,4.8779,2.5,1.95
6.4479,4.4,2.1,1.5
6.3391,3.9155,2.1,1.5
5.888,3.7204,2.1,1.5
5.4056,3.6167,2.1,1.5
4.9181,3.6909,2.1,1.5
4.507,3.971,2.1,1.5
4.1611,4.3278,3,2
3.8666,4.7278,3,2
3.6331,5.1505,3,2
3.3548,5.5607,3,2
3.0599,5.9563,3,2
2.7024,6.3032,2.5,1.5
2.323,6.6219,3,1.5
1.8463,6.7677,4,1.5
1.3799,6.9125,5,2.95
0.8884,6.9869,6,2.95
0.3903,7.0167,6,2.95
-0.1097,7.0167,6,2.95
-0.6072,7.0619,6,2.95
-1.107,7.0667,6,2.95
-1.6054,7.041,6,2.95
-2.1039,7.0167,6,2.95
-2.6039,7.0167,6,2.95
-3.1039,7.0167,6,2.95
-3.6039,7.0167,6,2.95
-4.1039,7.0167,6,2.95
-4.6012,6.9667,6,2.95
-5.1012,6.9667,6,2.95
-5.5958,6.9135,6,2.95
-6.0911,6.8667,4.7,2.95
-6.5881,6.8272,4.5,1.5
-7.0322,6.6109,4,1.5
-7.4004,6.2826,3.5,1
-7.4974,5.7938,2.5,1
-7.3976,5.3286,2.7,1
-7.0746,4.9483,3,1.85
-6.6742,4.6593,3.5,2
-6.1788,4.6167,4.2,2
-5.6805,4.5892,5,2.5
-5.1833,4.5458,5,2.5
-4.6851,4.5167,5,2.5
-4.1856,4.5247,5,2.5
-3.6882,4.5667,5,2.5
-3.1902,4.5991,5,2.5
-2.6913,4.6167,5,2.5
-2.1913,4.6167,5,2.5
-1.6913,4.6167,5,2.5
-1.1929,4.5908,3.5,2.05
-0.7031,4.4952,3,1.8
-0.2072,4.4363,2.5,1.5
0.2913,4.4115,2,1.5
0.7643,4.2752,2,1
0.9905,3.8429,2,1
0.8252,3.4126,2,1
0.3765,3.1969,2.5,1.5
-0.117,3.1208,3,1.5
-0.611,3.0528,3.5,1.5
-1.0847,2.901,4.3,1.5
-1.5608,2.7564,5,2.5
-2.0525,2.6726,5,2.5
-2.5418,2.5762,5,2.5
-3.0192,2.4368,5,2.5
-3.509,2.3405,5,2.5
-3.993,2.2187,5,2.5
-4.4826,2.1238,5,2.5
-4.9731,2.0325,5,2.5
-5.4636,1.9414,5,2.5
-5.9511,1.8317,4.5,2.5
-6.4304,1.6957,4,2
-6.8899,1.4988,3.5,1.7
-7.3449,1.2959,3,1.5
-7.7754,1.0468,2.5,1
-7.9998,0.6184,2,1
-7.9464,0.1261,2,1
-7.6425,-0.2678,2,1
-7.2135,-0.5066,2.5,1.3
-6.7264,-0.6156,3,1.5
-6.2278,-0.6333,3.5,2
-5.7284,-0.6244,4,2.45
-5.2372,-0.538,5.2,3
-4.7397,-0.4933,5.7,3
-4.2403,-0.4833,6,3
-3.7415,-0.4635,6,3
-3.244,-0.4216,6,3
-2.7462,-0.3833,6,3
-2.2489,-0.3394,6,3
-1.7499,-0.3208,6,3
-1.2637,-0.2101,6,3
-0.7682,-0.1465,6,3
-0.2707,-0.1047,6,3
0.218,-0.0061,6,3
0.7105,0.0743,6,3
1.1829734756865733,0.1520200549803814,6,3
1.7137779517108562,0.2306577551321265,6,3
2.20526357765927,0.30929545528387337,6,3
2.716408628645617,0.3781034429166512,6,3
3.1587456919991936,0.4469114305494273,6,3
3.581423330314827,0.49605999314426885,6,3
4.023760393668393,0.5845274058149821,6,3
4.249843781604664,0.6533353934477599,6,3
