4.1213,0.5061,4.800,3.000
4.6103,0.5646,4.700,3.000
5.1201,0.6366,4.700,3.000
5.6226,0.6890,4.500,3.000
6.1064,0.7563,4.000,3.000
6.5699,0.8078,4.000,3.000
6.9210,0.8930,4.000,3.000
7.1945,1.0103,3.500,3.000
7.5433,1.2330,3.000,2.500
7.8321,1.4443,2.500,1.800
8.0847,1.6356,2.500,1.200
8.2789,1.8394,2.500,1.200
8.3948,2.0686,2.300,1.350
8.4910,2.2815,2.100,1.500
8.5877,2.4708,2.550,1.625
8.6555,2.7276,3.000,1.750
8.7027,2.9707,3.200,1.750
8.7500,3.2139,3.400,1.750
8.7778,3.4622,3.950,1.750
8.8055,3.7104,4.500,1.750
8.8277,3.9590,4.500,1.675
8.8500,4.2077,4.500,1.600
8.8475,4.4575,4.100,1.550
8.8449,4.7073,3.700,1.500
8.8537,4.9543,3.300,1.350
8.8625,5.2341,2.900,1.200
8.8363,5.5024,2.700,1.350
8.7837,5.7707,2.500,1.500
8.6529,5.9991,2.250,1.300
8.4563,6.1815,2.000,1.100
8.1802,6.2907,2.000,1.050
7.8876,6.3179,2.000,1.000
7.6809,6.3205,2.000,1.025
7.4912,6.2953,2.000,1.038
7.3197,6.2176,2.000,1.044
7.1680,6.1083,2.000,1.050
7.0640,5.9465,2.000,1.200
6.9654,5.7553,2.000,1.350
6.8614,5.5289,2.250,1.400
6.7942,5.3026,2.500,1.450
6.7415,5.0588,2.500,1.300
6.6930,4.7840,2.500,1.150
6.6260,4.4820,2.500,1.150
6.5914,4.2662,2.300,1.100
6.5081,4.0631,2.200,1.050
6.4318,3.9431,2.150,1.025
6.3565,3.8600,2.100,1.000
6.1681,3.7360,2.100,1.000
5.9098,3.6487,2.100,1.000
5.6471,3.5895,2.100,1.000
5.3390,3.5851,2.100,1.000
5.0658,3.6320,2.100,1.000
4.8387,3.7220,2.100,1.000
4.6831,3.8162,2.100,1.250
4.5070,3.9710,2.100,1.500
4.3406,4.1560,2.550,1.750
4.1677,4.3870,3.000,2.000
4.0138,4.6331,3.000,2.000
3.9127,4.8133,3.000,2.000
3.7828,5.0312,3.500,2.000
3.6594,5.2163,3.500,2.000
3.5202,5.4543,3.500,2.000
3.3752,5.6547,3.500,2.000
3.2196,5.8484,3.000,2.000
3.0722,6.0135,3.000,2.000
2.8811,6.1836,2.750,1.750
2.7114,6.3302,2.500,1.500
2.5307,6.4851,2.750,1.500
2.3230,6.6219,3.000,1.500
2.1194,6.7396,3.500,1.500
1.8399,6.8882,4.000,1.500
1.3799,7.0564,5.000,2.950
0.7634,7.1549,5.500,2.000
0.1837,7.1947,5.500,2.000
-0.3576,7.2057,5.300,2.000
-0.7984,7.2191,5.300,2.000
-1.1731,7.2326,5.300,2.000
-1.6199,7.2370,5.000,2.000
-2.0900,7.2480,4.700,2.000
-2.6130,7.2503,4.300,2.000
-3.1504,7.2536,4.000,2.000
-3.7038,7.2432,3.700,2.000
-4.1640,7.2360,3.500,2.000
-4.6265,7.2208,3.200,2.000
-5.1504,7.1857,3.000,2.000
-5.6600,7.1419,2.750,2.000
-6.1600,7.0750,2.500,1.250
-6.5812,6.9929,2.300,1.200
-7.0229,6.8890,2.300,1.200
-7.3170,6.7541,2.300,1.200
-7.5390,6.6050,2.300,1.100
-7.7176,6.4527,2.250,1.050
-7.8462,6.2744,2.000,1.000
-7.9148,6.1127,2.000,1.000
-7.9472,5.9043,2.000,1.000
-7.9360,5.6888,2.000,1.000
-7.8863,5.4648,2.150,1.000
-7.7341,5.2323,2.300,1.000
-7.5709,5.0726,2.500,1.000
-7.3581,4.9194,2.750,1.425
-7.1247,4.8161,3.000,1.850
-6.8432,4.7404,3.000,1.925
-6.5329,4.7027,3.000,2.000
-6.1977,4.6895,3.300,2.000
-5.8654,4.6981,3.500,2.000
-5.4069,4.7065,4.000,1.800
-4.9946,4.7066,4.000,1.800
-4.5239,4.7219,4.500,1.800
-4.0605,4.7178,4.500,1.800
-3.5793,4.7481,5.000,1.800
-3.0491,4.7848,5.000,1.800
-2.4978,4.8435,5.000,1.800
-2.0173,4.8686,5.000,1.800
-1.6262,4.9097,5.000,1.800
-1.1973,4.9252,3.500,1.500
-0.8395,4.9274,3.250,1.425
-0.4588,4.8918,3.000,1.350
