# ========== first straight line ==========
4.6603,0.9334,6,3
5.1552,1.0046,6,3
5.6501,1.0758,6,3
6.1451,1.147,6,3
6.64,1.2182,6,2.4
6.801,1.242,6,2.4
7.2725,1.4017,3,1.3

# ========== first curve ==========
7.7454,1.5599,2.5,1.2
7.9209,1.7319,2.5,1.2  # interpolated
8.0964,1.9039,2.5,1.2
8.2407,2.1071,2.3,1.35  # interpolated
8.385,2.3104,2.1,1.5
8.5203,2.519,2.55,1.625  # interpolated
8.6555,2.7276,3,1.75
8.7027,2.9707,3.2,1.75  # interpolated
8.75,3.2139,3.4,1.75
8.7778,3.4622,3.95,1.75  # interpolated
8.8055,3.7104,4.5,1.75
8.8277,3.959,4.5,1.675  # interpolated
8.85,4.2077,4.5,1.6
8.8475,4.4575,4.1,1.55  # interpolated
8.8449,4.7073,3.7,1.5
8.7353,4.928,3.3,1.35  # interpolated
8.6257,5.1486,2.9,1.2
8.5139,5.3708,2.7,1.35  # interpolated
8.4021,5.5931,2.5,1.5
8.2187,5.7623,2.25,1.3  # interpolated
8.0352,5.9315,2,1.1
7.8224,6.0584,2,1.05  # interpolated
7.6095,6.1854,2,1
7.3663,6.1693,2,1.025  # interpolated
7.1231,6.1532,2,1.05
6.9292,6.0037,2,1.2  # interpolated
6.7354,5.8542,2,1.35
6.6682,5.6143,2.25,1.4  # interpolated
6.601,5.3745,2.5,1.45
6.5842,5.1262,2.5,1.3  # interpolated
6.5675,4.8779,2.5,1.15
6.5077,4.639,2.3,1.125  # interpolated
6.4479,4.4,2.1,1.1

# ========== second curve ==========
6.3391,3.9155,2.1,1
6.1136,3.818,2.1,1  # interpolated
5.888,3.7204,2.1,1
5.6468,3.6685,2.1,1  # interpolated
5.4056,3.6167,2.1,1
5.1618,3.6538,2.1,1  # interpolated
4.9181,3.6909,2.1,1
4.7126,3.831,2.1,1.25  # interpolated
4.507,3.971,2.1,1.5
4.334,4.1494,2.55,1.75  # interpolated
4.1611,4.3278,3,2
4.0138,4.5278,3,2  # interpolated
3.8666,4.7278,3,2
3.7499,4.9391,3,2  # interpolated
3.6331,5.1505,3,2
3.4939,5.3556,3,2  # interpolated
3.3548,5.5607,3,2
3.2073,5.7585,3,2  # interpolated
3.0599,5.9563,3,2
2.8811,6.1297,2.75,1.75  # interpolated
2.7024,6.3032,2.5,1.5
2.5127,6.4626,2.75,1.5  # interpolated
2.323,6.6219,3,1.5
2.0846,6.6948,3.5,1.5  # interpolated
1.8463,6.7677,4,1.5

# ========== second straight line ==========
1.3799,6.9125,5,2.95
0.8884,6.9869,6,2
0.3903,7.0167,6,2
-0.1097,7.0167,6,2
-0.6072,7.0619,6,2
-1.107,7.0667,6,2
-1.6054,7.041,6,2
-2.1039,7.0167,6,2
-2.6039,7.0167,6,2
-3.1039,7.0167,6,2
-3.6039,7.0167,6,2
-4.1039,7.0167,6,2
-4.6012,6.9667,6,2
-5.1012,6.9667,6,2
-5.5958,6.9135,6,2
-6.0911,6.8667,4.7,1.25

# ========== third curve ==========
-6.5881,6.8272,4.5,1.2
-6.8102,6.7191,4.25,1.2  # interpolated
-7.0322,6.6109,4,1.2
-7.2163,6.4467,3.75,1.1  # interpolated
-7.4004,6.2826,3.5,1
-7.4489,6.0382,3,1  # interpolated
-7.4974,5.7938,2.5,1
-7.4475,5.5612,2.6,1  # interpolated
-7.3976,5.3286,2.7,1
-7.2361,5.1384,2.85,1.425  # interpolated
-7.0746,4.9483,3,1.85
-6.8744,4.8038,3.25,1.925  # interpolated
-6.6742,4.6593,3.5,2
-6.4265,4.638,3.85,2  # interpolated
-6.1788,4.6167,4.2,2

# ========== third straight line ==========
-5.6805,4.5892,5,1.8
-5.1833,4.5458,5,1.8
-4.6851,4.5167,5,1.8
-4.1856,4.5247,5,1.8
-3.6882,4.5667,5,1.8
-3.1902,4.5991,5,1.8
-2.6913,4.6167,5,1.8
-2.1913,4.6167,5,1.8
-1.6913,4.6167,5,1.8

# ========== fourth curve ==========
-1.1929,4.5908,3.5,1.5
-0.948,4.543,3.25,1.425  # interpolated
-0.7031,4.4952,3,1.35
-0.4551,4.4657,2.75,1.2  # interpolated
-0.2072,4.4363,2.5,1.05
0.0421,4.4239,2.25,0.975  # interpolated
0.2913,4.4115,2,0.9
0.5278,4.3434,2,0.875  # interpolated
0.7643,4.2752,2,0.85
0.8774,4.0591,2,0.85  # interpolated
0.9905,3.8429,2,0.85
0.9079,3.6277,2,0.85  # interpolated
0.8252,3.4126,2,0.85
0.6008,3.3047,2.25,1.175  # interpolated
0.3765,3.1969,2.5,1.5
0.1298,3.1589,2.75,1.5  # interpolated
-0.117,3.1208,3,1.5
-0.364,3.0868,3.25,1.5  # interpolated
-0.611,3.0528,3.5,1.5
-0.8478,2.9769,3.9,1.5  # interpolated
-1.0847,2.901,4.3,1.5
-1.3228,2.8287,4.65,1.65  # interpolated
-1.5608,2.7564,5,1.8
-1.8067,2.7145,5,1.8  # interpolated
-2.0525,2.6726,5,1.8
-2.2972,2.6244,5,1.8  # interpolated
-2.5418,2.5762,5,1.8
-2.7805,2.5065,5,1.8  # interpolated
-3.0192,2.4368,5,1.8
-3.2641,2.3887,5,1.8  # interpolated
-3.509,2.3405,5,1.8
-3.751,2.2796,5,1.8  # interpolated
-3.993,2.2187,5,1.8
-4.2378,2.1713,5,1.9  # interpolated
-4.4826,2.1238,5,2
-4.7279,2.0781,5,2.025  # interpolated
-4.9731,2.0325,5,2.05
-5.2183,1.987,5,1.775  # interpolated
-5.4636,1.9414,5,1.5
-5.7073,1.8866,4.75,1.375  # interpolated
-5.9511,1.8317,4.5,1.25
-6.1907,1.7637,4.25,1.25  # interpolated
-6.4304,1.6957,4,1.25
-6.6601,1.5972,3.75,1.25  # interpolated
-6.8899,1.4988,3.5,1.25
-7.1174,1.3973,3.25,1.075  # interpolated
-7.3449,1.2959,3,0.9
-7.5602,1.1713,2.75,0.825  # interpolated
-7.7754,1.0468,2.5,0.75
-7.8876,0.8326,2.25,0.8  # interpolated
-7.9998,0.6184,2,0.85
-7.9731,0.3722,2,0.8  # interpolated
-7.9464,0.1261,2,0.75
-7.7944,-0.0708,2,0.875  # interpolated
-7.6425,-0.2678,2,1
-7.428,-0.3872,2.25,1.15  # interpolated
-7.2135,-0.5066,2.5,1.3

# ========== fourth straight line ==========
-6.667,-0.622,6,3
-6.228,-0.633,6,3
-5.7331,-0.5618,6,3
-5.2381,-0.4906,6,3
-4.7432,-0.4194,6,3
-4.2483,-0.3482,6,3
-3.7534,-0.277,6,3
-3.2584,-0.2058,6,3
-2.7635,-0.1346,6,3
-2.2686,-0.0634,6,3
-1.7737,0.0078,6,3
-1.2788,0.079,6,3
-0.7838,0.1502,6,3
-0.2889,0.2214,6,3
0.206,0.2926,6,3
0.7009,0.3638,6,3
1.1958,0.435,6,3
1.6908,0.5062,6,3
2.1857,0.5774,6,3
2.6806,0.6486,6,3
3.1755,0.7198,6,3
3.6704,0.791,6,3
4.1654,0.8622,6,3
