4.2137,-0.1176,4.800,3.000
4.7027,-0.0822,4.700,3.000
5.2125,-0.0564,4.700,3.000
5.7612,-0.0040,4.500,3.000
6.2219,0.0864,4.000,3.000
6.7399,0.1842,4.000,3.000
7.2291,0.2921,5.000,3.000
7.7489,0.4097,3.500,3.000
8.2132,0.6093,3.000,2.500
8.6175,0.9361,2.500,1.800
8.9394,1.1736,2.500,1.200
9.2260,1.4698,2.500,1.200
9.3881,1.7683,2.300,1.350
9.5536,2.0967,2.100,1.500
9.6041,2.2860,2.550,1.625
9.6719,2.5428,3.000,1.750
9.7191,2.7859,3.200,1.750
9.7664,3.0291,3.400,1.750
9.7942,3.2774,3.950,1.750
9.8219,3.5256,4.500,1.750
9.8441,3.7742,4.500,1.675
9.8664,4.0229,4.500,1.600
9.8639,4.2727,4.100,1.550
9.7920,4.6842,3.700,1.500
9.7315,5.1160,3.300,1.350
9.6017,5.4882,2.900,1.200
9.5293,5.8258,2.700,1.350
9.4536,6.0941,2.500,1.500
9.3228,6.3225,2.250,1.300
9.1724,6.5742,2.000,1.100
8.8963,6.7989,2.000,1.050
8.4882,6.8492,2.000,1.000
8.0967,6.8749,2.000,1.025
7.6529,6.8728,2.000,1.038
7.2273,6.7720,2.000,1.044
6.9139,6.6165,2.000,1.050
6.6251,6.3854,2.000,1.200
6.4572,6.0556,2.000,1.350
6.3070,5.7599,2.250,1.400
6.1705,5.3488,2.500,1.450
6.1409,4.9433,2.500,1.300
6.1620,4.5525,3.000,1.150
6.0945,4.2047,3.500,1.150
5.7598,3.9197,2.300,1.100
6.7160,3.5549,2.200,1.050
6.5242,3.2732,2.150,1.025
6.2872,3.1208,2.100,1.000
6.0526,3.0430,2.100,1.000
5.7943,2.9557,2.100,1.000
5.4623,2.9658,2.100,1.000
5.0849,2.9152,2.100,1.000
4.6269,2.9852,2.100,1.000
4.1919,3.1445,2.100,1.000
3.9439,3.4235,2.100,1.250
3.7678,3.6707,2.100,1.500
3.6707,3.8788,2.550,1.750
3.5440,4.2484,3.000,2.000
3.4363,4.5407,3.000,2.000
3.3121,5.0212,3.000,2.000
4.2217,5.3084,3.500,2.000
4.0983,5.7014,3.500,2.000
3.8898,6.1011,3.500,2.000
3.6062,6.6018,3.500,2.000
3.2196,6.8879,3.000,2.000
2.7719,7.0992,3.000,2.000
2.3498,7.2462,2.750,1.750
1.9029,7.4852,2.500,1.500
1.3295,7.5708,2.750,1.500
0.7522,7.6383,3.000,1.500
0.2021,7.7329,3.500,1.500
-0.3315,7.7891,4.000,1.500
-0.6991,7.8187,5.000,2.950
-1.1308,7.8248,5.500,2.000
-1.5950,7.7953,5.500,2.000
-2.0208,7.8063,5.300,2.000
-2.4616,7.8197,5.300,2.000
-2.9056,7.7870,5.300,2.000
-3.3062,7.7914,5.000,2.000
-3.7763,7.7562,4.700,2.000
-4.1838,7.7816,4.300,2.000
-4.5826,7.7387,4.000,2.000
-5.0898,7.6359,3.700,2.000
-5.6424,7.6287,3.500,2.000
-6.1049,7.5904,3.200,2.000
-6.6057,7.5091,3.000,2.000
-7.0460,7.4884,2.750,2.000
-7.6153,7.3060,2.500,1.250
-7.9672,7.0391,2.300,1.200
-8.3165,6.7966,2.300,1.200
-8.4720,6.4538,2.300,1.200
-8.5554,6.1430,2.300,1.100
-8.6185,5.7597,2.250,1.050
-8.5392,5.4197,2.000,1.000
-8.4230,5.1425,2.000,1.000
-8.2937,5.0496,2.000,1.000
-8.1901,4.8572,2.000,1.000
-7.9556,4.8180,2.150,1.000
-7.6417,4.7703,2.300,1.000
-7.2013,4.7954,2.500,1.000
-6.7806,4.8501,2.750,1.425
-6.3855,4.9085,3.000,1.850
-6.0116,4.9945,3.000,1.925
-5.5627,5.0723,3.000,2.000
-5.1351,5.1053,3.300,2.000
-4.7797,5.1601,3.500,2.000
-4.3905,5.1685,4.000,1.800
