-5.7378,7.0727,3.438,1.856
-5.3369,7.1348,3.684,1.996
-4.9087,7.1628,3.941,2.122
-4.4253,7.1868,4.213,2.229
-3.8940,7.2126,4.472,2.312
-3.3475,7.2393,4.680,2.370
-2.7994,7.2659,4.806,2.399
-2.2513,7.2925,4.838,2.399
-1.7032,7.3191,4.770,2.366
-1.1562,7.3458,4.611,2.299
-0.6147,7.3714,4.388,2.197
-0.0814,7.3878,4.137,2.063
0.4393,7.3983,3.903,1.907
0.9128,7.3932,3.726,1.746
1.2775,7.3736,3.627,1.598
1.5370,7.2994,3.576,1.482
1.7530,7.2022,3.549,1.411
1.9624,7.0911,3.537,1.389
2.1677,6.9372,3.538,1.412
2.3833,6.7541,3.552,1.466
2.5988,6.5341,3.574,1.537
2.7980,6.2715,3.598,1.604
2.9903,5.9649,3.612,1.651
3.1754,5.5944,3.595,1.662
3.3828,5.1791,3.522,1.631
3.5922,4.7837,3.393,1.560
3.8211,4.4805,3.246,1.457
4.0449,4.2372,3.099,1.340
4.2538,4.0430,2.966,1.223
4.4352,3.9131,2.863,1.120
4.6044,3.8071,2.774,1.039
4.7869,3.7260,2.690,0.981
4.9744,3.6597,2.612,0.943
5.1732,3.6690,2.542,0.921
5.3703,3.7030,2.481,0.909
5.5558,3.7761,2.430,0.903
5.7353,3.8644,2.387,0.901
5.8690,4.0039,2.354,0.900
6.0064,4.1465,2.331,0.900
6.0613,4.3372,2.312,0.900
6.1483,4.5173,2.300,0.900
6.2352,4.6973,2.293,0.900
6.3386,4.8685,2.291,0.900
6.4450,5.0379,2.293,0.900
6.5714,5.1925,2.298,0.900
6.7074,5.3391,2.306,0.900
6.8629,5.4622,2.318,0.900
7.0366,5.5612,2.334,0.900
7.2169,5.6454,2.354,0.901
7.4087,5.7021,2.379,0.904
7.6032,5.7206,2.409,0.911
7.7807,5.6285,2.445,0.926
7.9582,5.5363,2.486,0.953
8.0925,5.3911,2.532,0.999
8.1947,5.2192,2.582,1.066
8.2630,5.0331,2.636,1.155
8.3034,4.8373,2.692,1.258
8.3383,4.6264,2.752,1.360
8.3792,4.3134,2.839,1.442
8.4250,3.9054,2.940,1.488
8.4389,3.4598,3.025,1.490
8.4306,3.0314,3.080,1.452
8.4017,2.6743,3.109,1.385
8.3542,2.4068,3.126,1.308
8.2505,2.1975,3.139,1.237
8.1354,1.9978,3.154,1.183
7.9960,1.7983,3.175,1.154
7.8424,1.5971,3.203,1.152
7.6658,1.4253,3.242,1.181
7.4957,1.2727,3.287,1.245
7.3027,1.1680,3.340,1.346
7.0977,1.0625,3.406,1.481
6.8385,0.9992,3.496,1.642
6.5115,0.9305,3.627,1.814
6.0963,0.8570,3.817,1.982
5.6091,0.7843,4.064,2.131
5.0894,0.7138,4.340,2.253
4.5560,0.6463,4.624,2.344
4.0152,0.5781,4.900,2.406
3.4714,0.5094,5.156,2.446
2.9274,0.4407,5.383,2.469
2.3835,0.3721,5.575,2.481
1.8399,0.3034,5.726,2.487
1.2961,0.2347,5.835,2.490
0.7523,0.1660,5.905,2.491
0.2084,0.0974,5.936,2.492
-0.3355,0.0287,5.932,2.491
-0.8795,-0.0399,5.892,2.490
-1.4234,-0.1085,5.808,2.486
-1.9674,-0.1773,5.678,2.477
-2.5115,-0.2460,5.494,2.459
-3.0557,-0.3146,5.259,2.427
-3.6000,-0.3833,4.976,2.375
-4.1440,-0.4520,4.650,2.295
-4.6839,-0.5202,4.294,2.183
-5.2069,-0.5808,3.928,2.037
-5.7046,-0.6160,3.574,1.863
-6.1799,-0.6270,3.247,1.672
-6.5862,-0.6230,2.989,1.482
-6.8405,-0.6109,2.845,1.309
-7.0313,-0.5537,2.743,1.166
-7.2157,-0.4761,2.653,1.060
-7.3782,-0.3632,2.575,0.988
-7.5206,-0.2228,2.511,0.944
-7.6341,-0.0629,2.463,0.920
-7.7396,0.1054,2.428,0.908
-7.7457,0.3028,2.411,0.903
-7.7510,0.5013,2.409,0.903
-7.7279,0.6902,2.419,0.908
-7.6525,0.8754,2.446,0.920
-7.5771,1.0605,2.487,0.944
-7.4729,1.2296,2.542,0.988
-7.3495,1.3870,2.609,1.059
-7.1917,1.5023,2.690,1.165
-7.0017,1.5646,2.779,1.307
-6.8110,1.6248,2.878,1.478
-6.5541,1.6938,3.019,1.667
-6.1809,1.7849,3.239,1.856
-5.7139,1.8894,3.522,2.028
-5.2139,1.9882,3.813,2.170
-4.7019,2.0724,4.071,2.273
-4.1715,2.1596,4.276,2.336
-3.6318,2.2483,4.391,2.358
-3.0909,2.3372,4.399,2.339
-2.5501,2.4261,4.294,2.278
-2.0136,2.5143,4.085,2.174
-1.4943,2.6050,3.807,2.030
-1.0002,2.7164,3.501,1.854
-0.5280,2.8323,3.203,1.661
-0.1475,2.9400,2.981,1.469
0.0677,3.0212,2.867,1.296
