0.0000000; 0.8649414; 0.0387852; -1.3984793; 0.0322723; 2.0000000; 0.0000000
1.0933098; 1.9586792; 0.2490422; -1.3636832; 0.0300565; 2.0000000; 0.0000000
2.1866197; 3.0204857; 0.4901087; -1.3300143; 0.0404748; 2.0000000; 0.0000000
3.2799295; 4.0667525; 0.7799852; -1.2625933; 0.0872372; 2.0000000; 0.0000000
4.3732393; 5.1006056; 1.1727577; -1.1483519; 0.1157048; 2.0000000; 0.0000000
5.4665492; 6.0659635; 1.6920814; -0.9930876; 0.1885330; 2.0000000; 0.0000000
6.5598590; 6.8923605; 2.4001918; -0.7117517; 0.2780615; 2.0000000; 0.0000000
7.6531688; 7.4746711; 3.3122889; -0.4170245; 0.3264352; 2.0000000; 0.0000000
8.7464786; 7.7971927; 4.3425701; -0.4019497; -0.8627862; 2.0000000; -0.0417013
9.8397885; 8.2255385; 5.3206786; -0.1477054; 0.5156158; 1.9770724; -0.1285600
10.9330983; 7.9226154; 6.3121647; 1.0221600; 1.4802087; 1.9046531; 0.1702613
12.0264081; 6.9128773; 6.2001565; 2.4587029; 1.9215802; 2.0000000; 0.0000000
13.1197180; 6.6967258; 5.1450874; 3.0620675; -0.2053038; 2.0000000; 0.0000000
14.2130278; 6.2353829; 4.1651908; 2.0635696; -1.9184227; 2.0000000; -0.2856707
15.3063376; 5.4065430; 4.6053466; 0.3455182; -0.7766361; 1.8372117; 0.2856707
16.3996475; 4.9597741; 5.5393068; 1.1107222; 1.4535524; 2.0000000; 0.0000000
17.4929573; 3.8964353; 5.6982751; 1.4926090; -0.0847028; 2.0000000; 0.0000000
18.5862671; 2.8298175; 5.8439945; 1.3972785; -0.0267293; 2.0000000; 0.0000000
19.6795769; 1.7471180; 6.0365437; 1.3977755; 0.0070061; 2.0000000; 0.0000000
20.7728868; 0.6321311; 6.2270525; 1.4052768; 0.0065320; 2.0000000; 0.0000000
21.8661966; -0.4371527; 6.3965970; 1.4265730; 0.0325803; 2.0000000; 0.0000000
22.9595064; -1.5397021; 6.5310708; 1.4762845; 0.0499607; 2.0000000; 0.0000000
24.0528163; -2.6423863; 6.6076895; 1.5244159; 0.0382363; 2.0000000; 0.0000000
25.1461261; -3.7451715; 6.6357696; 1.5705748; 0.0635986; 2.0000000; 0.0000000
26.2394359; -4.8165907; 6.5844284; 1.6824064; 0.1507854; 2.0000000; 0.0000000
27.3327458; -5.9672022; 6.3987220; 1.6956567; -0.3598823; 2.0000000; -0.5261861
28.4260556; -6.9025290; 6.3939819; 2.3596947; 2.3301935; 1.6880258; 0.3597651
29.5193654; -6.4955835; 5.5267424; -2.3237974; -0.0144572; 1.9068563; 0.1664209
30.6126753; -5.6585177; 4.8007542; -2.0614666; 0.7066995; 2.0000000; 0.0000000
31.7059851; -4.6157827; 4.5527869; -1.6633709; 0.1273566; 2.0000000; 0.0000000
32.7992949; -3.4919673; 4.4942729; -1.5955948; 0.0365679; 2.0000000; 0.0000000
33.8926047; -2.3833639; 4.4803522; -1.5824552; -0.0258458; 2.0000000; 0.0000000
34.9859146; -1.2934077; 4.4346876; -1.6192865; 0.1646406; 2.0000000; 0.0000000
36.0792244; -0.2486574; 4.4504868; -1.8467247; -1.4156623; 2.0000000; 0.0000000
37.1725342; 0.4546269; 3.6203145; -3.0973360; -2.5368111; 2.0000000; 0.0000000
38.2658441; -0.3553421; 3.0264929; 2.1068269; 1.0522729; 2.0000000; 0.0000000
39.3591539; -1.0354722; 2.2264842; 2.1943463; -0.9357036; 2.0000000; 0.0000000
40.4524637; -2.0739510; 1.8534085; 1.7709182; -0.1361041; 2.0000000; 0.0000000
41.5457736; -3.1584820; 1.6905566; 1.6872646; -0.0322560; 2.0000000; 0.0000000
42.6390834; -4.2576368; 1.5658361; 1.6955923; 0.0494565; 2.0000000; 0.0000000
43.7323932; -5.3529420; 1.3777589; 1.8041079; 0.1465566; 2.0000000; 0.0000000
44.8257031; -6.3891603; 1.0124080; 2.0413264; 0.2570247; 2.0000000; 0.0000000
45.9190129; -7.3025666; 0.3521421; 2.4488542; 1.1514490; 2.0000000; 0.0000000
47.0123227; -6.7989251; -0.1991374; -1.9370726; 0.2544525; 2.0000000; 0.0000000
48.1056325; -5.7105527; -0.4602087; -1.7008802; 0.1375232; 2.0000000; 0.0000000
49.1989424; -4.5818023; -0.5342934; -1.5813610; 0.0822754; 2.0000000; 0.0000000
50.2922522; -3.4932977; -0.5041656; -1.5105089; 0.0510421; 2.0000000; 0.0000000
51.3855620; -2.3933790; -0.4109925; -1.4659728; 0.0300219; 2.0000000; 0.0000000
52.4788719; -1.3005194; -0.2811729; -1.4420405; 0.0141737; 2.0000000; 0.0000000
53.5721817; -0.2029717; -0.1307731; -1.4258496; 0.0192078; 2.0000000; 0.0000000
54.6654915; 0.8649414; 0.0387852; -1.3984793; 0.0322723; 2.0000000; 0.0000000
