# straight_first_section
-1.6288657604612098,2.2468839185021494,2.0,5.0
-1.5663749859092588,1.601145914796101,2.5,6.0
-1.5663749859094631,1.0595592020104014,2.5,7.0
-1.5247144695415704,0.4346514564884272,2.5,7.8
-1.4205631786214736,-0.16942603084950747,2.2,7.8
-1.3789026622535951,-0.8359942927396125,3.0,8.0
-1.358072404069775,-1.4817322964456459,3.0,8.0
-1.2747513713337346,-2.064979525599507,3.0,7.8
-1.2955816295180762,-2.794038562041786,3.0,7.8
-1.3164118877023698,-3.398116049379672,2.5,7.6
-1.2330908549663464,-4.023023794901665,2.5,7.0
-1.0456185313100033,-4.66876179860776,2.5,7.0

# curved_second
-1.0872790476783543,-5.252009027761574,2.0,4.0
-0.9831277567583383,-6.064389096940162,1.5,4.0
-0.6915041421817065,-6.8142783915666225,1.0,4.0
-0.2957292366846147,-7.2100532970640145,1.0,4.0
0.2041969597327462,-7.751640009849904,1.0,3.0
0.685815312043156,-7.941634747583645,1.0,4.0
1.2482322830128156,-8.212428103976709,1.0,4.0
1.748158479430305,-8.42073068581755,1.0,3.5
2.456387257688463,-8.587372751290344,1.5,3.5
3.1021252613944785,-8.608203009474654,1.5,3.0

# Hairpin
3.5724410979431767,-8.57624311477094,1.5,3.5
4.103295323132655,-8.553162496284648,1.5,3.5
4.6572301668087155,-8.322356311419874,1.5,2.5
4.957278207133349,-7.929985797149512,0.5,2.0
4.888036351674075, -7.352970334987017, 0.5,2.0
4.807684018411471,-6.985965285195182,1.0,2.0
4.516060403834668,-6.694341670618158,1.0,2.5
4.078624981969367,-6.506869346961404,2.0,2.5

# Start S
3.5995290437359064,-6.402718056040896,2.0,2.5
3.120433105502413,-6.381887797856647,2.0,2.5
2.682997683637032,-6.402718056040547,2.0,2.5
2.2039017454035394,-6.381887797856299,1.5,2.5
1.748077111235173,-6.051044712792026,1.5,2.5
1.5189442712105743,-5.738590840030961,1.5,2.5
1.2898114311860063,-5.342815934533633,2.0,2.5
1.1439996238977166,-4.905380512668205,2.0,2.5
0.9773575584254166,-4.322133283514313,2.0,2.5

# Start Straight
1.0215404888706994,-3.866390017541871,1.8,7.5
0.8548984233983825,-3.3248033047561107,1.8,7.5
0.7507471324783013,-2.6790653010500476,1.8,7.5
0.7299168742944024,-2.2416298791846687,2.0,7.0
0.646595841558363,-1.6583826500308083,2.0,7.0
0.5216142924542102,-1.033474904508803,2.0,7.0
0.5297511120576082,-0.49042356419454336,2.0,7.0
0.5297511120578648,0.17614469769554297,2.0,7.0
0.48809059568999213,0.8427129595856462,1.5,7.0

# Start Second Hairpin
0.33101195019987384,1.5987530918209374,2.0, 5.0
0.22730404135437543,2.2821196741891314,1.5, 4.5
-0.1662332042524708,2.5719490109504775, 0.5, 3.0
-0.7321683128507721,2.6006699665283874, 1.0, 3.0
-1.3985282352084467,2.6465968586335804, 1.5, 2.2


# 0.566836372792159, 2.231097013336323, 2.0, 4.0
# 0.5808133217561575, 2.7291430066608826, 1.5, 3.0
# 0.6186850852683692, 3.316365661916739, 0.8,2.0
# 0.2966489029246239,3.8088668442287514, 0.8,2.0
# -0.15360746130351172,4.0011971170553355, 0.8,2.0
# -0.736457061987704,3.9662126804820246, 0.5,2.5
# -1.1724225060599602,3.67681742182982, 0.5,3.0
# -1.4288628698287436,3.0764756028589724,0.5,3.0
# -1.5483369425698068,2.6305922932025,0.5,3.0
